0.004;0.007;0.013
0.010;0.017;0.033
0.010;0.017;0.033
0.005;0.008;0.016
0.011;0.019;0.038
0.003;0.006;0.011
0.050;0.087;0.173
0.018;0.031;0.062
0.022;0.038;0.076
0.038;0.065;0.130
0.038;0.065;0.130
0.004;0.007;0.014
0.004;0.007;0.014
0.004;0.007;0.014
0.003;0.004;0.008
0.003;0.004;0.008
0.002;0.004;0.007
0.001;0.002;0.003
0.001;0.002;0.003
0.001;0.002;0.003
0.001;0.002;0.003
0.001;0.002;0.004	
0.001;0.002;0.003
0.004;0.007;0.013
0.004;0.007;0.013
0.002;0.003;0.006
0.001;0.002;0.004
0.005;0.009;0.018
0.005;0.009;0.018
0.002;0.003;0.005
0.050;0.087;0.174
0.006;0.010;0.020
0.010;0.016;0.032
0.004;0.007;0.013
0.004;0.007;0.013
0.004;0.007;0.013
0.421;0.733;1.465
