;Bang Duea;Bang Kadi;Bang Khayaeng;Bang Khu Wat;Bang Prok;Bang Phut;Bang Phun;Bang Luang;Ban Mai;Ban Krachaeng;Ban Klang;Ban Chang;Suan Phrik Thai;Lak Hok;Khlong Phra Udom;Khu Kwang;Khu Bang Luang;Bo Ngoen;Rahaeng;Lat Lum Kaeo;Na Mai;Chiang Rak Yai;Chiang Rak Noi;Krachaeng;Khlong Khwai;Thai Ko;Bang Toei;Bang Pho Nuea;Bang Krabue;Ban Ngio;Ban Pathum;Sam Khok
Bang Duea;0.0;8.5;4.7;4.5;4.1;20.6;15.2;6.1;9.5;11.2;9.9;5.9;16.1;15.7;16.5;15.1;11.9;22.7;26.2;23.2;25.6;14.7;20.5;10.1;11.1;15.4;26.7;7.7;15.2;21.8;17.2;10.4
Bang Kadi;8.5;0.0;5.0;7.7;8.5;13.5;7.9;12.9;2.7;6.7;2.8;9.3;6.0;10.0;19.9;18.9;15.6;26.4;29.9;24.1;29.0;10.2;16.0;12.2;13.2;17.6;24.6;10.1;17.3;17.3;12.7;12.6
Bang Khayaeng;4.7;5.0;0.0;2.6;8.0;21.6;14.7;13.6;9.0;14.3;10.4;9.8;14.8;10.2;16.0;19.1;15.8;26.6;29.6;22.6;25.1;17.9;26.3;14.0;15.0;19.3;22.6;11.9;19.1;27.6;24.7;14.3
Bang Khu Wat;4.5;7.7;2.6;0.0;8.6;22.7;15.5;10.6;9.8;15.4;11.5;10.4;18.8;11.3;15.3;19.7;17.1;27.2;28.9;19.4;24.4;22.9;27.4;14.2;15.6;20.0;23.7;12.5;19.7;28.7;25.8;15.0
Bang Prok;4.1;8.5;8.0;8.6;0.0;16.5;11.0;5.4;11.7;7.1;5.8;1.9;12.0;16.3;20.7;11.2;7.9;18.7;19.4;22.9;23.4;10.7;16.5;5.6;7.6;11.4;40.6;3.9;11.1;17.7;13.1;6.4
Bang Phut;20.6;13.5;21.6;22.7;16.5;0.0;10.2;17.3;15.1;11.1;9.7;13.7;12.9;17.3;32.6;23.3;20.0;33.2;31.5;34.8;42.5;3.7;8.2;16.6;17.6;20.3;16.8;14.6;15.3;9.5;6.6;17.0
Bang Phun;15.2;7.9;14.7;15.5;11.0;10.2;0.0;17.5;8.7;11.3;10.4;13.9;6.9;5.8;25.5;23.5;20.2;31.0;34.5;29.6;34.6;15.4;29.6;16.8;17.8;22.2;28.0;14.8;22.0;18.2;15.3;17.2
Bang Luang;6.1;12.9;13.6;10.6;5.4;17.3;17.5;0.0;15.7;11.5;10.2;7.4;16.4;20.7;17.0;10.9;7.6;18.4;21.9;19.2;26.8;15.0;20.9;10.4;11.4;15.7;36.8;8.3;15.5;22.1;17.5;10.7
Ban Mai;9.5;2.7;9.0;9.8;11.7;15.1;8.7;15.7;0.0;12.0;8.2;14.6;15.0;10.1;21.6;24.3;20.9;31.7;35.2;25.8;30.7;15.6;26.5;17.6;18.6;23.0;17.7;15.5;27.7;27.7;24.9;17.9
Ban Krachaeng;11.2;6.7;14.3;15.4;7.1;11.1;11.3;11.5;12.0;0.0;9.0;9.0;5.8;14.5;27.9;18.7;15.3;26.1;29.7;30.0;30.2;4.4;10.3;12.0;13.0;17.4;12.1;9.0;9.9;11.5;8.6;12.4
Ban Klang;9.9;2.8;10.4;11.5;5.8;9.7;10.4;10.2;8.2;9.0;0.0;6.6;4.2;11.5;25.4;16.2;12.9;23.6;24.4;27.7;31.7;7.5;13.3;9.5;10.5;14.9;9.6;7.4;14.7;14.6;11.7;9.9
Ban Chang;5.9;9.3;9.8;10.4;1.9;13.7;13.9;7.4;14.6;9.0;6.6;0.0;8.8;17.7;18.9;9.3;6.0;16.8;20.3;21.1;21.5;12.0;17.8;7.3;8.3;12.7;7.4;5.3;12.5;19.1;16.2;7.7
Suan Phrik Thai;16.1;6.0;14.8;18.8;12.0;12.9;6.9;16.4;15.0;5.8;4.2;8.8;0.0;10.0;27.3;18.0;14.7;25.5;29.0;29.5;37.1;7.7;13.5;12.8;12.3;18.1;12.9;10.7;16.4;11.4;9.8;11.7
Lak Hok;15.7;10.0;10.2;11.3;16.3;17.3;5.8;20.7;10.1;14.5;11.5;17.7;10.0;0.0;25.5;26.9;23.6;33.6;39.1;29.7;34.6;18.8;23.4;20.2;21.2;24.8;19.6;18.1;24.6;24.6;21.7;19.8
Khlong Phra Udom;16.5;19.9;16.0;15.3;20.7;32.6;25.5;17.0;21.6;27.9;25.4;18.9;27.3;25.5;0.0;11.4;8.2;18.9;17.4;13.5;19.7;23.1;28.9;18.4;17.7;19.4;16.9;16.3;21.0;30.2;27.3;20.5
Khu Kwang;15.1;18.9;19.1;19.7;11.2;23.3;23.5;10.9;24.3;18.7;16.2;9.3;18.0;26.9;11.4;0.0;7.2;8.8;9.0;12.7;13.6;20.6;26.4;15.9;13.7;14.3;12.8;13.9;16.0;27.7;24.8;15.4
Khu Bang Luang;11.9;15.6;15.8;17.1;7.9;20.0;20.2;7.6;20.9;15.3;12.9;6.0;14.7;23.6;8.2;7.2;0.0;10.8;11.9;14.6;15.5;20.2;30.4;16.5;9.5;11.2;8.7;16.2;12.9;31.7;28.8;12.3
Bo Ngoen;22.7;26.4;26.6;27.2;18.7;33.2;31.0;18.4;31.7;26.1;23.6;16.8;25.5;33.6;18.9;8.8;10.8;0.0;12.1;19.6;23.0;26.4;32.4;21.8;19.5;20.1;18.6;19.7;21.7;33.5;28.9;21.3
Rahaeng;26.2;29.9;29.6;28.9;19.4;31.5;34.5;21.9;35.2;29.7;24.4;20.3;29.0;39.1;17.4;9.0;11.9;12.1;0.0;9.3;10.3;28.8;34.6;24.1;21.9;22.4;20.9;22.0;24.1;35.8;31.2;23.6
Lat Lum Kaeo;23.2;24.1;22.6;19.4;22.9;34.8;29.6;19.2;25.8;30.0;27.7;21.1;29.5;29.7;13.5;12.7;14.6;19.6;9.3;0.0;10.9;30.0;35.8;25.3;26.3;25.6;25.5;23.3;25.6;37.1;32.5;26.8
Na Mai;25.6;29.0;25.1;24.4;23.4;42.5;34.6;26.8;30.7;30.2;31.7;21.5;37.1;34.6;19.7;13.6;15.5;23.0;10.3;10.9;0.0;32.7;38.5;28.0;265.7;26.4;24.9;26.0;25.0;39.8;35.1;27.5
Chiang Rak Yai;14.7;10.2;17.9;22.9;10.7;3.7;15.4;15.0;15.6;4.4;7.5;12.0;7.7;18.8;23.1;20.6;20.2;26.4;28.8;30.0;32.7;0.0;7.4;14.3;15.3;19.7;14.4;12.2;14.6;8.7;5.8;14.7
Chiang Rak Noi;20.5;16.0;26.3;27.4;16.5;8.2;29.6;20.9;26.5;10.3;13.3;17.8;13.5;23.4;28.9;26.4;30.4;32.4;34.6;35.8;38.5;7.4;0.0;21.1;13.2;13.1;21.2;19.0;12.5;10.2;7.3;12.9
Krachaeng;10.1;12.2;14.0;14.2;5.6;16.6;16.8;10.4;17.6;12.0;9.5;7.3;12.8;20.2;18.4;15.9;16.5;21.8;24.1;25.3;28.0;14.3;21.1;0.0;7.4;12.0;6.7;5.2;11.7;21.3;18.4;4.5
Khlong Khwai;11.1;13.2;15.0;15.6;7.6;17.6;17.8;11.4;18.6;13.0;10.5;8.3;12.3;21.2;17.7;13.7;9.5;19.5;21.9;26.3;265.7;15.3;13.2;7.4;0.0;4.4;8.6;8.6;0.7;25.9;22.9;4.8
Thai Ko;15.4;17.6;19.3;20.0;11.4;20.3;22.2;15.7;23.0;17.4;14.9;12.7;18.1;24.8;19.4;14.3;11.2;20.1;22.4;25.6;26.4;19.7;13.1;12.0;4.4;0.0;11.2;12.8;8.6;28.3;25.4;9.0
Bang Toei;26.7;24.6;22.6;23.7;40.6;16.8;28.0;36.8;17.7;12.1;9.6;7.4;12.9;19.6;16.9;12.8;8.7;18.6;20.9;25.5;24.9;14.4;21.2;6.7;8.6;11.2;0.0;5.6;1.8;28.3;17.1;1.8
Bang Pho Nuea;7.7;10.1;11.9;12.5;3.9;14.6;14.8;8.3;15.5;9.0;7.4;5.3;10.7;18.1;16.3;13.9;16.2;19.7;22.0;23.3;26.0;12.2;19.0;5.2;8.6;12.8;5.6;0.0;5.2;19.7;15.0;5.3
Bang Krabue;15.2;17.3;19.1;19.7;11.1;15.3;22.0;15.5;27.7;9.9;14.7;12.5;16.4;24.6;21.0;16.0;12.9;21.7;24.1;25.6;25.0;14.6;12.5;11.7;0.7;8.6;1.8;5.2;0.0;26.5;23.6;3.4
Ban Ngio;21.8;17.3;27.6;28.7;17.7;9.5;18.2;22.1;27.7;11.5;14.6;19.1;11.4;24.6;30.2;27.7;31.7;33.5;35.8;37.1;39.8;8.7;10.2;21.3;25.9;28.3;28.3;19.7;26.5;0.0;4.4;16.2
Ban Pathum;17.2;12.7;24.7;25.8;13.1;6.6;15.3;17.5;24.9;8.6;11.7;16.2;9.8;21.7;27.3;24.8;28.8;28.9;31.2;32.5;35.1;5.8;7.3;18.4;22.9;25.4;17.1;15.0;23.6;4.4;0.0;19.2
Sam Khok;10.4;12.6;14.3;15.0;6.4;17.0;17.2;10.7;17.9;12.4;9.9;7.7;11.7;19.8;20.5;15.4;12.3;21.3;23.6;26.8;27.5;14.7;12.9;4.5;4.8;9.0;1.8;5.3;3.4;16.2;19.2;0.0
